,Company,constant,year,score,total,market_cap,growth,excess_return
20,AEScorporation,1,2017,-1.302980170847201,117,7406.0,0.024219433907207488,-0.21238535926412072
21,AEScorporation,1,2018,-0.9268378225130465,1041,8364.5,0.019563152896486136,0.4539114118758615
22,AEScorporation,1,2019,-0.09840160747033769,2125,11394.0,-0.05095007451564826,0.13281429699687175
23,AEScorporation,1,2020,-0.11224733808386486,3049,14421.0,-0.05191873589164786,0.05892558493183109
24,AEScorporation,1,2021,-0.8483786823697258,18734,15916.0,0.1533126293995859,-0.2095117447948469
25,AlaskaAir,1,2017,-1.2568277354687774,176,9991.5,0.34751054852320684,-0.32871202806308286
26,AlaskaAir,1,2018,-0.31531805374892996,1711,8274.0,0.0350701402805611,-0.10228206846306664
27,AlaskaAir,1,2019,-0.9083768483616769,775,7924.0,0.06256050338818975,-0.15096474837473783
28,AlaskaAir,1,2020,-1.062987506879397,727,7388.0,-0.5938959116273773,-0.3907088384597106
29,AlaskaAir,1,2021,-0.8160719776048291,1064,6480.0,0.7319125070106562,-0.26700433903446075
30,Altria,1,2017,0.30773982385979254,3133,133821.5,-0.006525792417650722,-0.09131218360733251
31,Altria,1,2018,0.432351399381537,3433,114919.0,-0.008289020957147342,-0.1944281438970641
32,Altria,1,2019,0.7461879599548195,3807,93522.0,-0.010014193344898281,-0.21008018821680463
33,Altria,1,2020,1.0277178157632052,4721,84716.5,0.04153723616089211,-0.26470431706235764
34,Altria,1,2021,-0.7514585680750356,1319,81625.0,-0.005353114365464817,-0.027079267698621345
35,Amazon,1,2017,-0.6660765626249515,1363,22996.5,0.3079632611940848,0.38364419091074886
36,Amazon,1,2018,4.920675739933261,8296,32449.0,0.3093396152159491,0.3333045567367473
37,Amazon,1,2019,-0.7329975939236661,725,41264.5,0.20454125820676983,-0.05850320720951996
38,Amazon,1,2020,-0.8276100864494351,1011,63758.0,0.37623430604373276,0.5999713763593357
39,Amazon,1,2021,0.8592614266319579,3444,83129.0,0.21695366571345676,-0.2451596130449587
40,AmericanAirlines,1,2017,-0.5599259612545766,1160,24543.5,0.061780678591002,-0.039621137346169455
41,AmericanAirlines,1,2018,-0.2553198877569789,1598,19842.5,0.04502369668246442,-0.3180853409023945
42,AmericanAirlines,1,2019,-0.0937863639324953,1852,13676.5,0.02754765272445603,-0.38450008415536907
43,AmericanAirlines,1,2020,0.04697856397169755,2954,11098.0,-0.6203242440132843,-0.610696684043651
44,AmericanAirlines,1,2021,-0.6822299150073998,1844,10630.5,0.7196293951775334,-0.13005620315532318
45,Apple,1,2017,-0.9983740973496035,2367,739235.0,0.06304518199398057,0.32155811008175816
46,Apple,1,2018,-0.9222225789752041,2876,801128.0,0.15861957650261305,-0.00044939349602879375
47,Apple,1,2019,-0.9106844701305981,3978,1014516.0,-0.0204107758052674,0.600797510333088
48,Apple,1,2020,-0.7168442415412177,4222,1765693.0,0.05512080376978479,0.6604780698025348
49,Apple,1,2021,-0.5853098007127097,4083,2567924.0,0.33259384733074704,0.07358086156905697
50,AppliedMaterials,1,2017,-0.9176073354373617,606,49019.0,0.35778290993071593,0.4947354731822522
51,AppliedMaterials,1,2018,0.007748993900037249,1308,48761.0,0.1365491903660363,-0.3026836976620283
52,AppliedMaterials,1,2019,0.007748993900037249,1308,47051.0,-0.12553127806046094,0.6097706791821265
53,AppliedMaterials,1,2020,0.6446526021222869,2378,72738.5,0.17757393209200445,0.2703108484468433
54,AppliedMaterials,1,2021,0.20620446602725995,2445,103167.0,0.34071619579118706,0.5611340815833255
55,BD,1,2017,-0.04532630678515022,2516,47654.5,-0.031242489786109107,0.14750325334958792
56,BD,1,2018,-0.3083951884421664,1862,58871.0,0.3216736955263375,0.11807603602626304
57,BD,1,2019,0.012364237437879637,2462,67210.0,0.08177438528436465,-0.0663736315929142
58,BD,1,2020,0.2823559844016594,3911,73242.0,-0.010005783689994163,-0.22981750598243644
59,BD,1,2021,1.0000263545361507,5148,72230.0,0.18291756733072395,-0.2497726356902532
60,BestBuy,1,2017,-0.636077479628976,840,17233.5,0.0697408826739081,0.4787708153030743
61,BestBuy,1,2018,-1.30067254907828,204,18279.5,0.01727123911650974,-0.14416786584334096
62,BestBuy,1,2019,-0.3799314632787234,1174,18825.0,0.017700972504022916,0.4162415686638796
63,BestBuy,1,2020,-0.44454487280851684,1224,25047.0,0.08304688574178476,0.004552651875869618
64,BestBuy,1,2021,-0.44223725103959566,1450,25833.0,0.09519275527908255,-0.2245342380396238
65,Boeing,1,2017,-0.8276100864494351,1702,135861.5,0.005444083169333425,0.7498037154404065
66,Boeing,1,2018,-1.0699103721861605,1449,179892.5,0.07576192755704492,0.17786102592206487
67,Boeing,1,2019,-1.0929865898753723,1413,183739.0,-0.24294204317343537,-0.25539838779158264
68,Boeing,1,2020,-1.2037524347835897,964,152089.0,-0.24035057929178805,-0.5015701538497186
69,Boeing,1,2021,-1.1437542687916387,1222,119579.5,0.07097905705148055,-0.32844336521633644
70,BostonProperties,1,2017,-0.7699195422264052,989,19704.5,0.020392156862745203,-0.14486568378188358
71,BostonProperties,1,2018,-0.8668396565210954,869,18724.5,0.04419677171406611,-0.033317602897730114
72,BostonProperties,1,2019,-0.6291546143222124,1358,19349.0,0.08943687891056307,-0.027911028634177493
73,BostonProperties,1,2020,-0.32454854082461476,1984,18015.0,-0.0658783783783784,-0.44585272992739067
74,BostonProperties,1,2021,-0.052249172091913806,2429,16353.0,0.04448462929475583,-0.006807755192195453
75,Caesars,1,2017,0.06313191635414592,2852,1672.5,0.6444444444444444,0.6623223434712582
76,Caesars,1,2018,0.13697581295962413,3348,2676.5,0.3891891891891892,0.2141697588607484
77,Caesars,1,2019,0.23851117079215667,3191,3715.5,0.22957198443579774,0.3582781460658928
78,Caesars,1,2020,-0.43531438573283204,1311,10047.0,0.4351265822784811,0.08271589021993919
79,Caesars,1,2021,0.22466544017862952,2667,17731.5,1.637816979051819,-0.009603258341673415
80,Campbells,1,2017,0.443889508226143,4043,16723.0,-0.2668006531842734,-0.38476325434035974
81,Campbells,1,2018,0.3538922592382164,4133,12269.0,0.13328764776426238,-0.21033266481587343
82,Campbells,1,2019,0.05390142927846114,3805,12512.5,0.22554799697656835,0.2631471959394367
83,Campbells,1,2020,0.13466819119070295,3797,14646.5,0.07203651165659308,-0.15541565695168202
84,Campbells,1,2021,0.29389409324626536,3638,13959.0,-0.024738234955701266,-0.34078544901391283
85,CardinalHealth,1,2017,-1.192214325938984,354,21155.5,0.0693564576374377,
86,CardinalHealth,1,2018,-0.7122289980033754,896,16282.0,0.05257124392195478,
87,CardinalHealth,1,2019,-0.5345421217964434,977,14041.0,0.0637750440395004,-0.10837202412011182
88,CardinalHealth,1,2020,0.18312824833804803,1859,15255.0,0.05076476974452704,-0.06165033112095708
89,CardinalHealth,1,2021,-0.16763026053797353,1506,15112.5,0.06241744157152018,-0.27290335239093444
90,Carnival,1,2017,0.7992632606400069,5446,42181.0,0.06839953627433037,0.11912726998779744
91,Carnival,1,2018,1.2884790756513,6357,44298.5,0.07829811536264986,-0.16826674230987193
92,Carnival,1,2019,1.2007894484322947,6200,36521.0,0.10296064827074836,-0.21509474722750843
93,Carnival,1,2020,1.2469418838107187,46031,26396.5,-0.7313325330132052,-0.7314895094033229
94,Carnival,1,2021,1.5284717396191043,6242,20501.0,-0.6589812332439678,-0.3400261409547799
95,Caterpillar,1,2017,-0.31531805374892996,2256,74004.5,0.17969743363520774,0.5354106282300777
96,Caterpillar,1,2018,-0.5806945571748673,1297,84072.0,0.20368659539835465,-0.10265221949141567
97,Caterpillar,1,2019,-1.0352960456523426,567,78005.5,-0.01684879938598738,-0.09364445887923623
98,Caterpillar,1,2020,-0.5806945571748673,1297,90250.5,-0.22401486988847585,0.10707003733360132
99,Caterpillar,1,2021,-0.4145457898125413,1668,105359.0,0.2209207626712657,-0.10939079919652106
100,Cigna,1,2017,1.251557127348561,3634,42159.5,0.049400070284652875,0.3124898720340332
101,Cigna,1,2018,1.7361576988220118,3918,61194.5,0.16370855858010813,0.007910692232286132
102,Cigna,1,2019,1.8653845178815986,3922,74339.5,2.1563412127440906,-0.21180107047673102
103,Cigna,1,2020,2.546132939713351,4506,75785.5,0.04457657141368632,-0.14433605663461346
104,Cigna,1,2021,3.4437978078236955,5115,75657.5,0.08526754820730553,-0.14602903910408815
105,Cisco,1,2017,3.0376563764935653,8650,182956.0,-0.025219810343777294,0.1497992049748269
106,Cisco,1,2018,3.035348754724644,9593,208899.0,0.040099989584418294,0.21901101596067984
107,Cisco,1,2019,2.54382531794443,9652,207316.0,0.03953534948928494,-0.1506545520483904
108,Cisco,1,2020,4.027626115360758,11903,198205.0,-0.05015027743526512,-0.19745372883161494
109,Cisco,1,2021,1.2907866974202213,3319,211858.5,0.010486602705827464,0.17890509149195966
110,Colgate,1,2017,1.1200226865200529,4388,62209.0,0.017045080618624642,-0.01490335748607774
111,Colgate,1,2018,0.4092751816923251,2797,58937.5,0.005823734955351378,-0.11848660717440451
112,Colgate,1,2019,0.8684919137076428,5415,55310.0,0.009585692228512688,-0.10282020612997789
113,Colgate,1,2020,0.49234956537348806,1925,66147.0,0.049576244185305596,0.10909774909883296
114,Colgate,1,2021,0.32158555447331966,1684,72612.0,0.04674883127921792,-0.2481143715907106
115,Conagra,1,2017,0.34466177216253163,3999,16199.0,-0.09463211476168443,-0.21987787296963668
116,Conagra,1,2018,0.18312824833804803,3678,15301.0,0.014311270125223707,-0.3474153172772071
117,Conagra,1,2019,0.6423449803533657,3291,15049.0,0.07558578987150422,0.3663036133493949
118,Conagra,1,2020,-0.8253024646805139,1168,15779.0,0.29468259545561026,-0.07561563496221102
119,Conagra,1,2021,-0.5022354170315467,1816,16381.0,0.011850913696399568,-0.2944156818173649
120,ConocoPhillips,1,2017,-0.04071106324730783,2789,63872.5,0.33760262725779966,-0.06785225030604103
121,ConocoPhillips,1,2018,-0.1353235557730768,2288,68700.0,0.18852811195678854,0.21739493725252623
122,ConocoPhillips,1,2019,2.1930668090684082,12721,71567.0,-0.0531153975262737,-0.2224879395691184
123,ConocoPhillips,1,2020,3.0399639982624866,9358,57031.0,-0.4748841014453231,-0.5229460794744605
124,ConocoPhillips,1,2021,1.6853900199057454,6055,68954.0,1.5108537598670546,0.5970859308005183
125,CSX,1,2017,-0.6014631530951581,1731,41408.5,0.030626072815972627,0.41867382659586316
126,CSX,1,2018,-1.1575999994051658,697,50813.0,0.07380785413744739,0.18774301773393753
