Ticker;Total_revenue_2016;Total_revenue_2017;Total_revenue_2018;Total_revenue_2019;Total_revenue_2020;Total_revenue_2021;Market_cap_2017;Market_cap_2018;Market_cap_2019;Market_cap_2020;Market_cap_2021;Market_cap_2022;;
PVH;8203;8914;9656;9909;7132;9154;7158;9837;9681;6680;4144;7768;;
QCOM;23554;22258;22611;24273;23531;33566;98745;95423;68863;101396;168281;204668;;
DGX;7214;7402;7531;7726;9437;10788;12741;13424;11331;14384;16060;21224;;
RCL;8496;8777;9493;10950;2208;1532;17604;25537;20438;27988;17730;19593;;
SPGI;5661;6093;6258;6699;7442;8297;27864;43197;42638;66733;79092;113676;;
STX;11160;10771;11184;10390;10509;10681;11242;12105;10976;15476;15971;25153;;
SEE;4211;4461;4732;4791;4903;5533;8765;8893;5467;6154;7104;9996;;
LUV;20289;21146;21965;22428;9048;15790;30682;38837;26136;28408;27513;25358;;
SWK;11593;12966;13982;12912;13057;15617;17283;26022;17950;25219;28609;30751;;
SBUX;21315;22386;24719;26508;23518;29060;80804;81711;78642;104082;119729;137229;;
TPR;4491;4488;5880;6027;4961;5746;9819;12578;9798;7417;8558;11171;;
TXN;13370;14961;15784;14383;14461;18344;72933;102932;90771;119922;150662;174057;;
TJX;33183;35864;38972;41716;32136;48549;48410;49617;60301;71036;76888;85148;;
UNP;19941;21240;22832;21708;19533;21804;85444;105559;101846;125504;140313;161960;;
UPS;61610;66585;71861;74094;84628;97287;100041;102675;83800;100417;145565;186292;;
URI;5762;6641;8047;9351;8530;9716;8892;14539;8315;12534;16729;24056;;
VZ;125980;126034;130863;131868;128292;133613;217611;215925;232302;253937;243113;218116;;
V;15082;18538;20609;22977;21846;24105;180966;257546;290443;404668;467133;456693;;
VNO;2003;2084;2163;1924;1527;1589;19724;14844;11803;12691;7141;8023;;
WMT;485873;500343;514405;523964;559151;572754;205104;315789;278411;324828;397486;387815;;
DIS;55632;55137;59434;69607;65388;67418;165861;162047;159734;262699;328023;281536;;
WM;13609;14485;14914;15455;15218;17391;31342;37472;37940;48346;49837;69817;;
WFC;94176;97741;101060;105684;82227;82407;276778;298754;216909;227539;124778;191307;;
WHR;20718;21253;21037;20419;19456;21985;13652;12118;6819;9323;11289;14253;;
WYNN;4345;6070;6717;6611;2095;3763;8801;17292;10755;14835;12087;9756;;
XYL;3771;4707;5207;5249;4876;5195;8883;12248;11990;14188;18345;21624;;
CMA;2960;3289;3595;3817;3094;3024;11732;15097;11107;11578;10343;7769;;
